,match_id,date_planned_start,match_start,player_1,player_2,player_1_fh_goals,player_2_fh_goals,player_1_sh_goals,player_2_sh_goals,player_1_total_goals,player_2_total_goals,shift_n,match_count_within_shift,match_count_within_shift_player_pair,Total_goals,player_1_total_goals_est,player_2_total_goals_est,total_goals_est,result,result_est,outcomes_proba,over_4.5_goals_proba
7885,151795,1672572360,2023-01-01 11:25:59,8,19,2,1,1,0,3,1,871.0,20,7,4,1.7438478,1.6622838,3.4061317,1,1,40.39 - 22.6 - 37.0,25.695837364056274
7886,151796,1672573200,2023-01-01 11:40:03,14,19,0,1,1,4,1,5,871.0,21,7,6,1.7932897,1.9075347,3.7008243,2,2,36.93 - 21.58 - 41.5,31.293979977586194
7887,151797,1672574040,2023-01-01 11:54:04,8,14,3,2,0,1,3,3,871.0,22,8,6,2.001986,1.7234936,3.7254796,0,1,44.87 - 21.34 - 33.79,31.770481236195668
7888,151798,1672574880,2023-01-01 12:08:06,8,19,0,1,1,1,1,2,871.0,23,8,3,1.7516407,1.6622967,3.4139373,2,1,40.57 - 22.57 - 36.86,25.841140997143803
7889,151799,1672575720,2023-01-01 12:22:05,14,19,0,0,1,3,1,3,871.0,24,8,4,1.7660861,2.2256372,3.9917233,2,2,31.06 - 20.27 - 48.68,36.954607673396104
7890,151800,1672578240,2023-01-01 13:03:58,8,14,0,1,2,2,2,3,871.0,25,9,5,1.9999117,1.6868224,3.6867342,2,1,45.54 - 21.41 - 33.05,31.02208338796844
7891,151801,1672579080,2023-01-01 13:18:01,8,19,2,0,0,0,2,0,871.0,26,9,2,1.682122,1.8460275,3.5281496,1,2,35.6 - 22.11 - 42.29,27.98804874618383
7892,151802,1672579920,2023-01-01 13:32:08,14,19,1,0,0,0,1,0,871.0,27,9,1,1.7526804,2.057839,3.8105192,1,2,33.48 - 21.04 - 45.48,33.420148050754975
7893,151803,1672580760,2023-01-01 13:46:03,8,14,1,0,1,1,2,1,871.0,28,10,3,1.9891741,1.7418647,3.7310388,1,1,44.23 - 21.36 - 34.4,31.878044349464613
7894,151804,1672581600,2023-01-01 14:00:10,8,19,1,0,2,0,3,0,871.0,29,10,3,1.7297535,1.6584206,3.388174,1,1,40.15 - 22.68 - 37.18,25.36231108628084
7895,151805,1672582440,2023-01-01 14:14:07,14,19,1,1,0,3,1,4,871.0,30,10,5,1.784241,1.8019764,3.5862174,2,2,38.65 - 21.98 - 39.37,29.092805277525702
7896,151806,1672583280,2023-01-01 14:28:03,8,14,0,2,0,0,0,2,871.0,31,11,2,1.9391795,1.7455279,3.6847074,2,1,43.09 - 21.57 - 35.34,30.98300156341581
7897,151807,1672584120,2023-01-01 14:42:06,8,19,0,2,2,0,2,2,871.0,32,11,4,1.7338232,1.6517838,3.385607,0,1,40.37 - 22.68 - 36.95,25.314720582726125
7898,151808,1672584960,2023-01-01 14:56:01,14,19,2,2,1,5,3,7,871.0,33,11,10,1.7764988,1.8688605,3.6453593,2,2,37.26 - 21.77 - 40.98,30.22562360856445
7899,151809,1672585800,2023-01-01 15:10:01,8,14,1,1,1,1,2,2,871.0,34,12,4,1.8757558,1.753609,3.6293647,0,1,41.56 - 21.8 - 36.64,29.91856643056539
7900,151810,1672586640,2023-01-01 15:24:01,8,19,1,3,0,1,1,4,871.0,35,12,5,1.687479,1.7363516,3.4238305,2,2,37.71 - 22.55 - 39.74,26.0255849014854
7901,151811,1672587480,2023-01-01 15:38:02,14,19,0,4,0,2,0,6,871.0,36,12,6,1.7594507,2.1903334,3.949784,2,2,31.47 - 20.43 - 48.09,36.13535699480666
7902,151812,1672588320,2023-01-01 15:52:00,8,14,3,0,1,1,4,1,871.0,37,13,5,1.9054497,1.6435164,3.5489662,1,1,44.36 - 21.93 - 33.71,28.383166898456924
7903,151813,1672589160,2023-01-01 16:06:00,8,19,0,1,1,2,1,3,871.0,38,13,4,1.7312833,1.7698668,3.5011501,2,2,38.07 - 22.28 - 39.65,27.477222342105144
7904,151814,1672590000,2023-01-01 16:19:59,14,19,1,0,1,1,2,1,871.0,39,13,3,1.7770762,2.2966378,4.0737143,1,2,30.19 - 19.93 - 49.89,38.556110752224015
7905,151815,1672590840,2023-01-01 16:34:00,8,14,1,0,0,1,1,1,871.0,40,14,2,1.9440119,1.707515,3.651527,0,1,43.93 - 21.63 - 34.44,30.3441567783524
7906,151816,1672591680,2023-01-01 16:48:01,8,19,0,2,0,4,0,6,871.0,41,14,6,1.7908299,1.7458652,3.536695,2,1,39.84 - 22.15 - 38.01,28.15012215412102
7907,151817,1672592520,2023-01-01 17:02:03,14,19,0,1,1,1,1,2,871.0,42,14,3,1.755898,2.181437,3.937335,2,2,31.54 - 20.48 - 47.98,35.89224248661308
7908,151818,1672593360,2023-01-01 17:16:03,8,14,1,2,0,0,1,2,871.0,43,15,3,1.9484185,1.6843965,3.632815,2,1,44.48 - 21.65 - 33.86,29.984761865050896
7909,151819,1672594200,2023-01-01 17:30:04,8,19,2,1,2,1,4,2,871.0,44,15,6,1.7649397,1.8517317,3.6166713,1,2,37.32 - 21.86 - 40.82,29.67523887886131
7910,151820,1672595040,2023-01-01 17:44:04,14,19,0,1,0,1,0,2,871.0,45,15,2,1.8082753,1.9787118,3.7869873,2,2,36.0 - 21.27 - 42.73,32.9628130698357
